city,state_id,state_name,lat,lng,population,density,count,per density
Paulsboro,NJ,New Jersey,39.84,-75.2397,6234,1250.7,4,0.0031982090029583432
Whitehorn Cove,OK,Oklahoma,35.9936,-95.2868,1265,68.5,0,0.0
Pikeville,KY,Kentucky,37.4806,-82.5262,7376,137.2,2,0.01457725947521866
Lake Ridge,VA,Virginia,38.6847,-77.3066,44697,1893.0,37,0.01954569466455362
Highland Heights,KY,Kentucky,39.0354,-84.4567,6896,1016.1,13,0.012794016336974707
Ruston,WA,Washington,47.2982,-122.5103,1238,1825.6,50,0.027388255915863278
Watervliet,MI,Michigan,42.1883,-86.2576,1901,622.0,0,0.0
Chevy Chase,MD,Maryland,38.9944,-77.0738,9889,1583.1,32,0.020213505148127094
Edgewood,TX,Texas,32.6943,-95.8833,1860,507.6,0,0.0
Littleton Common,MA,Massachusetts,42.5352,-71.4727,3036,331.2,5,0.015096618357487924
Cordova,AL,Alabama,33.7613,-87.1926,1709,113.2,0,0.0
Port Hueneme,CA,California,34.1618,-119.2036,21954,1920.0,6,0.003125
Porter Heights,TX,Texas,30.1501,-95.3217,1167,139.6,6,0.042979942693409746
